Date,Symbol,Industry,Price
2023-05-02,DELTACORP,Consumer Services,197.93
2023-05-02,DEVYANI,Consumer Services,161.685
2023-05-02,DIVISLAB,Healthcare,3244.7299999999996
2023-05-02,DIXON,Consumer Durables,2919.735
2023-05-02,DLF,Realty,417.605
2023-05-02,DMART,Consumer Services,3487.44
2023-05-02,DRREDDY,Healthcare,4883.200000000001
2023-05-02,EASEMYTRIP,Consumer Services,45.834999999999994
2023-05-02,ECLERX,Services,1322.48
2023-05-02,EICHERMOT,Automobile and Auto Components,3257.0699999999997
2023-05-02,EIDPARRY,Chemicals,505.16999999999996
2023-05-02,EIHOTEL,Consumer Services,174.57
2023-05-02,ELGIEQUIP,Capital Goods,480.0849999999999
2023-05-02,EMAMILTD,Fast Moving Consumer Goods,366.14
2023-05-02,ENDURANCE,Automobile and Auto Components,1296.75
2023-05-02,ENGINERSIN,Construction,81.155
2023-05-02,EPL,Capital Goods,166.44
2023-05-02,EQUITASBNK,Financial Services,69.65
2023-05-02,ERIS,Healthcare,619.35
2023-05-02,ESCORTS,Capital Goods,1969.6650000000002
2023-05-02,EXIDEIND,Automobile and Auto Components,190.505
2023-05-02,FACT,Chemicals,337.99
2023-05-02,FDC,Healthcare,285.43500000000006
2023-05-02,FEDERALBNK,Financial Services,133.25
2023-05-02,FINCABLES,Capital Goods,873.7800000000001
2023-05-02,FINEORG,Chemicals,4384.15
2023-05-02,FINPIPE,Capital Goods,165.67000000000002
2023-05-02,FORTIS,Healthcare,262.855
2023-05-02,FSL,Services,115.22999999999999
2023-05-02,GAEL,Fast Moving Consumer Goods,277.40999999999997
2023-05-02,GAIL,Oil Gas & Consumable Fuels,108.84
2023-05-02,GALAXYSURF,Chemicals,2485.705
2023-05-02,GARFIBRES,Textiles,2894.065
2023-05-02,GESHIP,Services,652.75
2023-05-02,GICRE,Financial Services,151.225
2023-05-02,GLAND,Healthcare,1346.57
2023-05-02,GLAXO,Healthcare,1240.5049999999999
2023-05-02,GLENMARK,Healthcare,525.545
2023-05-02,GMMPFAUDLR,Capital Goods,1481.9950000000001
2023-05-02,GMRINFRA,Services,44.825
2023-05-02,GNFC,Chemicals,554.25
2023-05-02,GOCOLORS,Consumer Services,1042.0
2023-05-02,GODFRYPHLP,Fast Moving Consumer Goods,1730.4599999999998
2023-05-02,GODREJAGRO,Fast Moving Consumer Goods,434.28000000000003
2023-05-02,GODREJCP,Fast Moving Consumer Goods,961.3
2023-05-02,GODREJIND,Diversified,443.36
2023-05-02,GODREJPROP,Realty,1298.66
2023-05-02,GPPL,Services,111.24000000000001
2023-05-02,GRANULES,Healthcare,300.47
2023-05-02,GRAPHITE,Capital Goods,290.675
2023-05-02,GRASIM,Construction Materials,1698.1
2023-05-02,GREENPANEL,Consumer Durables,297.61
2023-05-02,GRINDWELL,Capital Goods,1866.4450000000002
2023-05-02,GRINFRA,Construction,980.1550000000001
2023-05-02,GSFC,Chemicals,137.865
2023-05-02,GSPL,Oil Gas & Consumable Fuels,272.4
2023-05-02,GUJALKALI,Chemicals,657.485
2023-05-02,GUJGASLTD,Oil Gas & Consumable Fuels,463.98
2023-05-02,HAL,Capital Goods,2839.685
2023-05-02,HAPPSTMNDS,Information Technology,805.855
2023-05-02,HAVELLS,Consumer Durables,1215.48
2023-05-02,HCLTECH,Information Technology,1056.4950000000001
2023-05-02,HDFC,Financial Services,2761.54
2023-05-02,HDFCAMC,Financial Services,1771.83
2023-05-02,HDFCBANK,Financial Services,1675.175
2023-05-02,HDFCLIFE,Financial Services,530.165
2023-05-02,HEG,Capital Goods,1079.72
2023-05-02,HEROMOTOCO,Automobile and Auto Components,2486.065
2023-05-02,HFCL,Telecommunication,62.870000000000005
2023-05-02,HGS,Services,1029.605
2023-05-02,HIKAL,Healthcare,292.40999999999997
2023-05-02,HINDALCO,Metals & Mining,431.225
2023-05-02,HINDCOPPER,Metals & Mining,100.49
2023-05-02,HINDPETRO,Oil Gas & Consumable Fuels,244.10999999999999
2023-05-02,HINDUNILVR,Fast Moving Consumer Goods,2494.2149999999997
2023-05-02,HINDZINC,Metals & Mining,318.825
2023-05-02,HLEGLAS,Capital Goods,594.0550000000001
2023-05-02,HOMEFIRST,Financial Services,713.2850000000001
2023-05-02,HONAUT,Capital Goods,35729.095
2023-05-02,HUDCO,Financial Services,47.455
2023-05-02,IBREALEST,Realty,65.19
2023-05-02,IBULHSGFIN,Financial Services,105.26000000000002
2023-05-02,ICICIBANK,Financial Services,906.0049999999999
2023-05-02,ICICIGI,Financial Services,1078.9050000000002
2023-05-02,ICICIPRULI,Financial Services,439.995
2023-05-02,IDBI,Financial Services,53.185
2023-05-02,IDEA,Telecommunication,6.455
2023-05-02,IDFC,Financial Services,83.925
2023-05-02,IDFCFIRSTB,Financial Services,58.625
2023-05-02,IEX,Financial Services,153.54500000000002
2023-05-02,IFBIND,Consumer Durables,843.2450000000001
2023-05-02,IGL,Oil Gas & Consumable Fuels,490.09
2023-05-02,IIFL,Financial Services,464.93
2023-05-02,INDHOTEL,Consumer Services,337.81499999999994
2023-05-02,INDIACEM,Construction Materials,183.03
2023-05-02,INDIAMART,Consumer Services,5345.67
2023-05-02,INDIANB,Financial Services,316.83000000000004
2023-05-02,INDIGO,Services,2001.845
2023-05-02,INDIGOPNTS,Consumer Durables,1133.555
2023-05-02,INDUSINDBK,Financial Services,1131.9850000000001
2023-05-02,INDUSTOWER,Telecommunication,142.66
2023-05-02,INFIBEAM,Financial Services,13.569999999999999
2023-05-02,INFY,Information Technology,1239.75
2023-05-02,INGERRAND,Capital Goods,2798.04
2023-05-02,INTELLECT,Information Technology,435.675
2023-05-02,IOB,Financial Services,24.479999999999997
2023-05-02,IOC,Oil Gas & Consumable Fuels,79.215
2023-05-02,IPCALAB,Healthcare,771.75
2023-05-02,IRB,Construction,26.779999999999994
2023-05-02,IRCTC,Consumer Services,608.535
2023-05-02,IRFC,Financial Services,29.97
2023-05-02,ISEC,Financial Services,443.09499999999997
2023-05-02,ITC,Fast Moving Consumer Goods,410.43
2023-05-02,ITI,Telecommunication,94.475
2023-05-02,JAMNAAUTO,Automobile and Auto Components,102.8
2023-05-02,JBCHEPHARM,Healthcare,2110.3949999999995
2023-05-02,JBMA,Automobile and Auto Components,810.05
2023-05-02,JINDALSTEL,Metals & Mining,578.165
2023-05-02,JKCEMENT,Construction Materials,2947.66
2023-05-02,JKLAKSHMI,Construction Materials,777.35
2023-05-02,JKPAPER,Forest Materials,372.82
2023-05-02,JMFINANCIL,Financial Services,61.335
2023-05-02,JSL,Metals & Mining,271.41999999999996
2023-05-02,JSWENERGY,Power,256.12
2023-05-02,JSWSTEEL,Metals & Mining,723.225
2023-05-02,JUBLFOOD,Consumer Services,445.62
2023-05-02,JUBLINGREA,Chemicals,408.275
2023-05-02,JUBLPHARMA,Healthcare,307.75
2023-05-02,JUSTDIAL,Consumer Services,670.995
2023-05-02,JYOTHYLAB,Fast Moving Consumer Goods,193.91000000000003
2023-05-02,KAJARIACER,Consumer Durables,1086.76
2023-05-02,KALPATPOWR,Construction,529.6049999999999
2023-05-02,KALYANKJIL,Consumer Durables,102.97999999999999
2023-05-02,KANSAINER,Consumer Durables,379.97
2023-05-02,KARURVYSYA,Financial Services,95.685
2023-05-02,KEC,Capital Goods,469.91
2023-05-02,KEI,Capital Goods,1816.5600000000002
2023-05-02,KENNAMET,Capital Goods,2210.455
2023-05-02,KIMS,Healthcare,1498.975
2023-05-02,KNRCON,Construction,238.59500000000003
2023-05-02,KOTAKBANK,Financial Services,1898.3799999999999
2023-05-02,KPITTECH,Information Technology,880.405
2023-05-02,KPRMILL,Textiles,602.11
2023-05-02,KRBL,Fast Moving Consumer Goods,380.265
2023-05-02,KSB,Capital Goods,2210.8750000000005
2023-05-02,L&TFH,Financial Services,89.94
2023-05-02,LALPATHLAB,Healthcare,1923.48
2023-05-02,LATENTVIEW,Information Technology,354.23
2023-05-02,LAURUSLABS,Healthcare,303.545
2023-05-02,LAXMIMACH,Capital Goods,10656.91
2023-05-02,LEMONTREE,Consumer Services,85.19500000000001
2023-05-02,LICHSGFIN,Financial Services,338.29499999999996
2023-05-02,LINDEINDIA,Chemicals,3990.8550000000005
2023-05-02,LODHA,Realty,922.9
2023-05-02,LT,Construction,2269.16
2023-05-02,LTTS,Information Technology,3525.1400000000003
2023-05-02,LUPIN,Healthcare,699.21
2023-05-02,LUXIND,Textiles,1330.94
2023-05-02,LXCHEM,Chemicals,275.79499999999996
2023-05-02,M&M,Automobile and Auto Components,1217.09
2023-05-02,M&MFIN,Financial Services,257.85
2023-05-02,MAHABANK,Financial Services,29.235000000000003
2023-05-02,MAHINDCIE,Automobile and Auto Components,378.4
